id,brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
id,brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
VJ-646,VietJet Air,1.361.788 VND,20:40,10 thg 6,22:00,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
9G-988,SUN PhuQuoc AIRWAYS,1.370.160 VND,20:20,10 thg 6,21:45,10 thg 6,1h 25m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
VU-672,Vietravel Airlines,1.417.875 VND,09:00,10 thg 6,10:25,10 thg 6,1h 25m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
QH-154,Bamboo Airways,1.421.640 VND,10:05,10 thg 6,11:30,10 thg 6,1h 25m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
9G-972,SUN PhuQuoc AIRWAYS,1.482.030 VND,15:05,10 thg 6,16:30,10 thg 6,1h 25m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
VN-7104,Vietnam Airlines,1.485.000 VND,04:55,10 thg 6,06:15,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VN-7146,Vietnam Airlines,1.509.287 VND,21:20,10 thg 6,22:40,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VN-7136,Vietnam Airlines,1.509.287 VND,22:15,10 thg 6,23:35,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VN-7140,Vietnam Airlines,1.509.287 VND,22:25,10 thg 6,23:45,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VJ-628,VietJet Air,1.530.036 VND,07:05,10 thg 6,08:25,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
VJ-636,VietJet Air,1.530.036 VND,13:00,10 thg 6,14:20,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
VJ-638,VietJet Air,1.530.036 VND,13:30,10 thg 6,14:50,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
