id,brand,price,take_place,destination,hand_luggage,checked_baggage,price_raw,start_hour,end_hour,trip_mins,days_left,is_holiday,num_flights_same_route_day,price_lag1,price_lag3,price_roll3_mean,price_roll3_std
VJ-646,VietJet Air,1361788,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.361.788 VND,Evening,LateNight,80,2,0,15,2705274.0,1361788.0,1804905.975,395997.86404272605
VJ-646,VietJet Air,1403134,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.403.134 VND,Evening,LateNight,80,1,0,14,1361788.0,1202000.0,1715868.9833333334,319671.5686737732
VJ-648,VietJet Air,1354570,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.354.570 VND,Evening,Evening,80,3,0,15,1354570.0,1354570.0,2084918.75,0.0
VJ-648,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Evening,Evening,80,3,0,15,1354570.0,2705274.0,2084918.75,0.0
VJ-648,VietJet Air,1361788,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.361.788 VND,Evening,Evening,80,2,0,15,2705274.0,1361788.0,1804905.975,395997.86404272605
VJ-648,VietJet Air,1403134,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.403.134 VND,Evening,Evening,80,1,0,14,1361788.0,1354570.0,1715868.9833333334,319671.5686737732
VJ-650,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Evening,LateNight,80,3,0,15,2705274.0,2705274.0,2084918.75,0.0
VJ-650,VietJet Air,1224082,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.224.082 VND,Evening,LateNight,80,2,0,15,2705274.0,1224082.0,1804905.975,395997.86404272605
VJ-650,VietJet Air,1258764,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.258.764 VND,Evening,LateNight,80,1,0,14,1224082.0,1258764.0,1715868.9833333334,319671.5686737732
VJ-652,VietJet Air,1202000,TP HCM (SGN),Đà Nẵng (DAD),7,0,1.202.000 VND,Evening,LateNight,80,3,0,15,1202000.0,1202000.0,2084918.75,0.0
VJ-652,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Evening,LateNight,80,3,0,15,1202000.0,2705274.0,2084918.75,0.0
VJ-652,VietJet Air,1224082,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.224.082 VND,Evening,LateNight,80,2,0,15,2705274.0,1224082.0,1804905.975,395997.86404272605
VJ-652,VietJet Air,1258764,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.258.764 VND,Evening,LateNight,80,1,0,14,1224082.0,1202000.0,1715868.9833333334,319671.5686737732
VN-104,Vietnam Airlines,1939689,TP HCM (SGN),Đà Nẵng (DAD),10,23,1.939.689 VND,Morning,Morning,80,3,0,23,1939689.0,1939689.0,2742015.301587302,0.0
VN-104,Vietnam Airlines,2715000,TP HCM (SGN),Đà Nẵng (DAD),10,32,2.715.000 VND,Morning,Morning,80,3,0,23,1939689.0,2715000.0,2742015.301587302,0.0
VN-104,Vietnam Airlines,3916000,TP HCM (SGN),Đà Nẵng (DAD),18,32,3.916.000 VND,Morning,Morning,80,3,0,23,2715000.0,3916000.0,2742015.301587302,0.0
VN-104,Vietnam Airlines,1985000,TP HCM (SGN),Đà Nẵng (DAD),10,10,1.985.000 VND,Morning,Morning,80,2,0,24,3916000.0,1939689.0,2205656.734126984,758525.5603973856
VN-104,Vietnam Airlines,2499000,TP HCM (SGN),Đà Nẵng (DAD),10,10,2.499.000 VND,Morning,Morning,80,1,0,21,1985000.0,2715000.0,2088296.2195767194,573586.0737627724
VN-106,Vietnam Airlines,1705000,TP HCM (SGN),Đà Nẵng (DAD),10,23,1.705.000 VND,Morning,Morning,80,3,0,23,1705000.0,1705000.0,2742015.301587302,0.0
VN-106,Vietnam Airlines,2715000,TP HCM (SGN),Đà Nẵng (DAD),10,32,2.715.000 VND,Morning,Morning,80,3,0,23,1705000.0,2715000.0,2742015.301587302,0.0
VN-106,Vietnam Airlines,3916000,TP HCM (SGN),Đà Nẵng (DAD),18,32,3.916.000 VND,Morning,Morning,80,3,0,23,2715000.0,3916000.0,2742015.301587302,0.0
VN-106,Vietnam Airlines,1782804,TP HCM (SGN),Đà Nẵng (DAD),10,10,1.782.804 VND,Morning,Morning,80,2,0,24,3916000.0,1705000.0,2205656.734126984,758525.5603973856
VN-106,Vietnam Airlines,2499000,TP HCM (SGN),Đà Nẵng (DAD),10,10,2.499.000 VND,Morning,Morning,80,1,0,21,1782804.0,2715000.0,2088296.2195767194,573586.0737627724
VN-110,Vietnam Airlines,1939689,TP HCM (SGN),Đà Nẵng (DAD),10,23,1.939.689 VND,Morning,Morning,80,3,0,23,1939689.0,1939689.0,2742015.301587302,0.0
VN-110,Vietnam Airlines,2715000,TP HCM (SGN),Đà Nẵng (DAD),10,32,2.715.000 VND,Morning,Morning,80,3,0,23,1939689.0,2715000.0,2742015.301587302,0.0
VN-110,Vietnam Airlines,3916000,TP HCM (SGN),Đà Nẵng (DAD),18,32,3.916.000 VND,Morning,Morning,80,3,0,23,2715000.0,3916000.0,2742015.301587302,0.0
VN-110,Vietnam Airlines,2066641,TP HCM (SGN),Đà Nẵng (DAD),10,10,2.066.641 VND,Morning,Morning,80,2,0,24,3916000.0,1939689.0,2205656.734126984,758525.5603973856
VN-110,Vietnam Airlines,2499000,TP HCM (SGN),Đà Nẵng (DAD),10,10,2.499.000 VND,Morning,Morning,80,1,0,21,2066641.0,2715000.0,2088296.2195767194,573586.0737627724
VN-1176,Vietnam Airlines,3566804,TP HCM (SGN),Hải Phòng (HPH),10,23,3.566.804 VND,Morning,Morning,125,3,0,4,3566804.0,3566804.0,4030681.25,0.0
VN-1176,Vietnam Airlines,3957000,TP HCM (SGN),Hải Phòng (HPH),10,32,3.957.000 VND,Morning,Morning,125,3,0,4,3566804.0,3957000.0,4030681.25,0.0
VN-1176,Vietnam Airlines,4996000,TP HCM (SGN),Hải Phòng (HPH),18,32,4.996.000 VND,Morning,Morning,125,3,0,4,3957000.0,4996000.0,4030681.25,0.0
